Job ID,Title,Company,Location,Posted Date,Date Posted ISO,Job URL,Description,Seniority Level,Employment Type,Job Function,Industries
4446671473,Creeler,Shaw Industries,"Sanquhar, Scotland, United Kingdom",4 days ago,2026-08-04,https://uk.linkedin.com/jobs/view/creeler-at-shaw-industries-4446671473,"Job Title
Creeler
Position Overview
Work Shift
8 hour day/night/back shift (nights being 4x10 hours Mon-Thur)
Shaw Industries is an equal opportunity employer as to all protected groups, including protected veterans and individuals with disabilities.
Show more
Show less",Not Applicable,Full-time,Other,Textile Manufacturing
4159606945,Spontaneous Application,Nadara,Greater Edinburgh Area,1 year ago,2025-02-21,https://uk.linkedin.com/jobs/view/spontaneous-application-at-nadara-4159606945,"R0000129 Spontaneous Application (Evergreen) (Open)
We’re Nadara. We work harmoniously with the power of nature and the communities around us to power lifetimes to come. We call our approach ‘living energy’.
We don’t just produce renewable energy, we live it – recognising our relationship with the people touched by our business and supporting social, educational, cultural, and environmental initiatives that contribute to the development of the communities we work alongside.
Discover more about our business here: https://nadara.com/about/
Nadara is an innovative place to work. We work in a stimulating and challenging environment, where every day we explore the unknown with curiosity, make decisions with quality and take action and deliver with courage. For us diversity is a real value, and we encourage in connecting different perspectives with respect.
Discover more about our culture and approach here: https://nadara.com/living-the-company/
Job Description Summary
No matter the Job description, no matter the skills, as a dynamic upbeat company we are always on the hunt for smart, highly motivated superstars who share our values, our mission and our vision.
Job Description
We are always on the lookout for
Enablers
of change.
We look for people willing to join a mission and not just a place of work.
We create opportunities to grow, we nurture and we celebrate the diversity of our employees.
Are you our next
enabler of change
?
If so, we want to hear from you. Don’t worry if we don’t have an exact position for you right now, we can create opportunities - all you need to do is send us your CV and we will do the rest.
This is your moment to become an Enabler!
If you’re thinking “I’m not sure how, but I wanna work here!” then click “Apply” and tell us the most important thing: who you are!
Recruiting Team
Location:
Milano - Martesana
Time Type
Worker Subtype:
Regular
Show more
Show less",Not Applicable,Full-time,Information Technology,Renewable Energy Power Generation
4421831175,🚀 Don't see your perfect role? Join our Talent Pool!,Wordsmith AI,"Edinburgh, Scotland, United Kingdom",2 months ago,2026-06-01,https://uk.linkedin.com/jobs/view/%F0%9F%9A%80-don-t-see-your-perfect-role%3F-join-our-talent-pool%21-at-wordsmith-ai-4421831175,"At Wordsmith AI, we are constantly pushing the boundaries of technology and innovation. Just because we don't have an open position that fits your exact toolkit today, doesn't mean we won't need your superpowers tomorrow.
If you are passionate about AI, love solving complex problems, and want to help shape the future Legal, we want to hear from you.
We review our speculative applications regularly. If a potential match pops up, our talent acquisition team will be in touch!
Show more
Show less",Not Applicable,Full-time,Human Resources,Legal Services
4418871854,Mobile Branch Colleague,Timpson Group,"Falkirk, Scotland, United Kingdom",2 months ago,2026-05-28,https://uk.linkedin.com/jobs/view/mobile-branch-colleague-at-timpson-group-4418871854,"mobile collegaue for Timpson Ltd, a Service Based Retail Company
Location: Covering the central belt of scotland
Job Type: Permanent Full time
Pay between: £29'640 OTE (+ uncapped Bonus )
Job description- Have you been looking for a new career after working in retail or hospitality? If so, an exciting opportunity has arisen to join Timpson, a successful high street service retailer. We are looking for people with great personalities who are experienced previous customer focused roles that are interested in trying something different, exciting and new.
We offer full training and support for all the services we provide so no experience is needed. Aspects of the role include key cutting, watch and mobile phone repairs, engraving, shoe repairs, photo processing, dry cleaning, and more. You will be running branches in multiple locations across the central belt including falkirk, stirling cumbernauld, bathgate and many more so driving and having a car is a must have.
Timpson offer excellent benefits including;
Free holiday homes
Achievable uncapped bonus
The day off for your birthday in addition to your holidays
Paid day off for a child's first day at school
Annual salary reviews
Regular social events
Excellent promotion prospects (we promote from within, so you can go as far as you wish. All of our most successful colleagues started the same way that you are!)
Our services are as diverse and interesting as our amazing colleagues, we recruit from all walks of life, all genders and ages, and offer the support needed to carry you through a successful and rewarding career. You generate the ""buzz"" of a busy, vibrant retail business and we show you how to excel!
Some of the things you need to start your new career are the drive to succeed, look smart and have a great personality with good communication skills. On joining, you will receive training in all our services plus management and customer service training.
40 hours over 5 days including weekends with some overtime available when trained.
We look forward to meeting you.
Show more
Show less",Not Applicable,Full-time,Other,Retail
4419442287,Talent Pool,MacTaggart Scott,"Loanhead, Scotland, United Kingdom",2 months ago,2026-05-26,https://uk.linkedin.com/jobs/view/talent-pool-at-mactaggart-scott-4419442287,"About Us
MacTaggart Scott primarily supports the Naval Defence industry, providing complete solutions to customer needs from analysis of initial customer requirements, to design and manufacture, and right through to commissioning and through life support. Established in 1898, we are proud of our history and tradition, but believe that sustainable competitive advantage can only be achieved through continuous improvement, investment, and a commitment to business excellence at every level within the company.
Thank you for visiting our careers site!
This is an open forum for you to send us your CV.
We have new roles coming up almost every week if you don't see the one that's right for you at the moment send us your CV and let us know what sort of role you would like!
Requirements
N/A
Benefits
Free onsite parking
Company pension
Cycle to work scheme
Employee discount
Free flu jabs
Health & wellbeing programme
Life insurance
Sick pay
Show more
Show less",Not Applicable,Full-time,Other,IT Services and IT Consulting
4449109491,Valeter,Arnold Clark,"Kilmarnock, Scotland, United Kingdom",4 days ago,2026-08-05,https://uk.linkedin.com/jobs/view/valeter-at-arnold-clark-4449109491,"We are looking for an enthusiastic and motivated Valeter to join our Citroen branch in Kilmarnock.
We Offer
Up to £33,500 on target earnings
33 days’ holiday allowance with room to grow
Generous retail discounts
Private healthcare
Simplyhealth – all employees have access to a GP 24/7 and can claim money back on medical and dental treatments
Pension scheme
Maternity and paternity packages
Opportunities for training and progression
And much more…
Hours
Full time: Monday - Thursday 8am - 5.30pm, Friday 8am - 4.30pm and alternate Saturdays 8am - 12pm
About The Role
As an Arnold Clark Valeter, you’ll be responsible for ensuring all our vehicles are presented in sparkling condition.
This position will be a perfect fit for someone who enjoys working in an active, physical role, has meticulous attention to detail and is a fantastic team player.
Day-to-day duties
Cleaning sold and stock vehicles to a high standard
Cleaning vehicles externally with a high-powered pressure washer
Using a high-powered vacuum to clean and shampoo vehicle interiors
Working with a polishing/buffing machine to enhance bodywork
Complying with health and safety procedures while working with chemicals
Making sure that all equipment and machinery is properly maintained and secure at all times, reporting any defects and complying with manufacturers’ instructions and PPE recommendations
Working to set timeframes and targets
Using an online diary system to manage vehicle schedule
Completing a daily record of work completed
Other duties to support the branch as required
Essential Skills
Full UK driving licence.
Basic computer skills.
High level of attention to detail.
Self-motivation with the ability to work as part of a team.
The ability to multi-task.
Willingness to participate in training programmes.
Valet experience is preferred but not essential, training can be provided for a candidate who demonstrates a high level of enthusiasm and the other required criteria. Arnold Clark also operates a Valet Academy which all new valet staff will attend.
Our Culture
Arnold Clark is committed to creating a diverse and inclusive workplace. We strive to create an environment where collaboration, unique perspectives and multiple approaches are celebrated. We care about our employees and our communities, we nurture talent and encourage ambition, and we are passionate about people who take pride in their work. Our employees are at the heart of everything we do – diverse in our make-up, united in our goals.
To find out more about Life at Arnold Clark , visit our website.
Employment within the Arnold Clark Group is offered subject to satisfactory reference and disclosure check.
Show more
Show less",Not Applicable,Full-time,Other,"Motor Vehicle Manufacturing, Hospitality, and Retail"
4445255616,Valeter,Park's Motor Group,"Stirling, Scotland, United Kingdom",2 weeks ago,2026-07-24,https://uk.linkedin.com/jobs/view/valeter-at-park-s-motor-group-4445255616,"Location:
Stirling
Franchise:
BMW
Due to business growth Douglas Park BMW is seeking to appoint an enthusiastic and experienced valeter to join their highly successful BMW Stirling franchise.
If you are self-motivated and can offer excellent customer service, then we can offer you an opportunity to join our team.
To be successful you will...
✔ Have a full clean driving licence (preferable).
✔ Have the ability to meet tight deadlines.
✔ Be able to work consistently with high standards.
✔ Be able to deal with customer queries in a courteous and helpful manner.
✔ Be reliable and have a pleasant manner.
✔ Be familiar with modern cleaning techniques.
For You
As a Park's Motor Group employee you will receive:
✔ Access to the Company Pension Scheme
✔ Colleague Introductory Scheme
✔ Industry leading discounts on purchases on new and used cars
✔ Death in service benefit
For You And Your Family
✔ Discounted Servicing
✔ Subsidised car purchase scheme
✔ Employee Assistance Programme
✔ 24/7 remote GP
✔ Medical second opinions
✔ Unlimited mental health support
✔ Physiotherapy help and advice
✔ Savings and discounts on shopping
✔ Financial and legal support
✔ Wellbeing assistance
We are looking for an individual with the right attitude, good communication skills and the drive to succeed in this highly competitive market.
If you feel you meet our criteria, then we want to hear from you!
Show more
Show less",Not Applicable,Full-time,Other,Automotive
4267603564,Speculative Application Barony,EGGER Group,"Auchinleck, Scotland, United Kingdom",5 days ago,2026-08-04,https://uk.linkedin.com/jobs/view/speculative-application-barony-at-egger-group-4267603564,"City:
Auchinleck (UK)
Contract Type:
Full-time
Job-Code:
5539
Department:
Based in East Ayrshire our Barony plant forms part of a global family owned business. We manufacture wood based panels and sell into various markets...kitchens, bedrooms and bathrooms being our most successful.
Why EGGER?
We offer stability, progression, innovation, and inclusion. We focus on the environment, ensuring the sustainability of our raw materials, practising a 'closed-loop' recycling model.
What’s behind a product like your kitchen counter tops? The answer lies in over 60 years of innovation and expericence at EGGER. This is how we provide wood products for furniture and interior design, construction and also laminate flooring.
More than 11,000 employees in 21 plants work with passion, upholding our family values and innovative spirit. This is how we create products for furniture, interior design, construction as well as laminate flooring. We keep moving and are always developing – manufacturing new products, tapping into emerging markets and generating exciting prospects for everyone that works with us.
We place great importance on the development of our employees and support them with numerous programs as part of our EGGER Campus. These programs equip our employees to work towards our common goal: To make more from wood.
Please make your speculative application here for roles at our Barony plant, Auchinleck, East Ayrshire. (upload a Cover letter as well and tell us the type of work you want to do!).
Your Chances And Benefits
Learning and Development
Health and Wellbeing Management
Company Pension Scheme
Christmas Gift and Bonus
Environmental and Sustainable
Global Business
Your Contact
Samuel Christer, HR, T 01290 427 406
About EGGER
We create more from wood. With approximately 12.000 employees worldwide who work with passion, upholding our family values and innovative spirit. This is how we create products for furniture, interior design, construction as well as laminate flooring. We keep moving and are always developing – manufacturing new products, tapping into emerging markets and generating exciting prospects for everyone that works with us.
Show more
Show less",Not Applicable,Full-time,Information Technology,Wood Product Manufacturing
4446898911,Traffic Management Operative,Sunbelt Rentals UK & Ireland,"Kilmarnock, Scotland, United Kingdom",1 week ago,2026-07-30,https://uk.linkedin.com/jobs/view/traffic-management-operative-at-sunbelt-rentals-uk-ireland-4446898911,"About The Role
Traffic Operative –Kilmarnock
Do you enjoy working outdoors in a hands-on job as part of a team and take pride in delivering a great service?
As a Traffic Operative it will be your job to visit sites and help set up traffic management schemes and deal with ongoing traffic issues.
What You’ll Receive
Basic Pay rate from £31,473
Weekend and bank holiday rates
Overtime paid up to 1.5
45 hours per week + OT available
Permanent role guaranteed
Full training & PPE provided
Career Progression System
Excellent Pension Scheme
Generous holiday allowance and the chance to buy or sell 5 days
Responsibilities
Delivery and installation of traffic management equipment to customer sites, in line with Sunbelt Rentals standards and legal guidelines
Ensuring customers are coached on the correct use of equipment and can operate safely
Checking all returned traffic management equipment and completing relevant supporting documentation
Maintaining traffic equipment and carrying out repairs
Working outdoors in all weather conditions
Able to follow instructions and procedures and complete documentation accurately, predominantly using an electronic device
With a positive, friendly approach, you’ll be able to communicate effectively with customers and the public.
Location: Kilmarnock- You can live anywhere across the region – our depots cover large areas. Compliance with working time directive and domestic driving hours
About You
We welcome all applications to discover the best potential for our roles, prior experience in Traffic Management isn’t essential, full training will be provided.
What We Are Looking For
Full UK manual driving licence
Reliable and self-motivated with commitment to Health and Safety
A flexible approach to working hours
Driven to learn and develop your skills and knowledge
Benefits
At Sunbelt Rentals we’re proud to offer our colleagues an excellent benefits package, as a Traffic Management Operative you’ll be able to enjoy all of the benefits above as well as:
Employee discounts
Employee Assistance Programme
Health Care Cash Plan
Volunteering Days: Paid days off available each year to support a charity of your choice
Discounted Gym Membership
Monthly Recognition Awards
Cycle to Work Scheme
About Us
Why Sunbelt?
Whether it's construction sites, energy projects, government initiatives, or unforgettable events, Sunbelt Rentals deliver the equipment and expertise to move every industry forward. With our ambition to an employer of choice this makes Sunbelt Rentals an ideal destination for your next career move.
We are committed to the fair treatment of our staff, potential staff, and users of our services, regardless of race, gender, religion, sexual orientation, responsibilities for dependants, age, physical/mental disability, or offending background.
Having a criminal record will not automatically bar an individual from working with us. We judge each case on its own merits, taking into account the relevance of the conviction to the role, the circumstances, and the time passed since the offence.
#TMO2024
Show more
Show less",Not Applicable,Full-time,"Project Management, Other, and Engineering",Construction
4449079946,Valeter,Park's Motor Group,"North Ayrshire, Scotland, United Kingdom",4 weeks ago,2026-07-10,https://uk.linkedin.com/jobs/view/valeter-at-park-s-motor-group-4449079946,"Valeters Wanted
Location:
Ayr
Franchise:
Ford
We are seeking enthusiastic and experienced
Valeters
to join our brand Ford retail facility in Ayr.
If you are self-motivated and can offer excellent customer service, then we can offer you an opportunity to join our team.
To be successful you will...
✔ Have a full clean driving licence (preferable).
✔ Have the ability to meet tight deadlines.Be able to work consistently with high standards.
✔ Be reliable and have a pleasant manner.
✔ Be familiar with modern cleaning techniques.
For You
As a Park's Motor Group employee you will receive:
✔ Access to the Company Pension Scheme
✔ Colleague Introductory Scheme
✔ Industry leading discounts on purchases on new and used cars
✔ Death in service benefit
For You And Your Family
✔ Discounted Servicing
✔ Subsidised car purchase scheme
✔ Employee Assistance Programme
✔ 24/7 remote GP
✔ Medical second opinions
✔ Unlimited mental health support
✔ Physiotherapy help and advice
✔ Savings and discounts on shopping
✔ Financial and legal support
✔ Wellbeing assistance
We are looking for an individual with the right attitude, good communication skills and the drive to succeed in this highly competitive market.
If you feel you meet our criteria, then we want to hear from you!
Show more
Show less",Not Applicable,Full-time,Other,Automotive
